field1,field2,field3
FEMALE MODELS & ARTISTS WANTED - FREE PHOTOSHOOTS & MORE,"QR Code Link to This Post
            
        
Experts working with artists like Phoney PPL, Kota The Friend, Trey Songz, Ryan Leslie, Wiz Khalifa and more are coming together to bring the ladies of NYC something special! Are you an aspiring actress, dancer, model, singer, or female entertainment professional (including MUA, photography, etc)? Well this is a beautiful opportunity for you! Our company specializes in nightlife/entertainment and we are starting our talent recruitment now!

This for you if you would like to:
•Network in safe & friendly environments
•Be seen around celebrities & have access to exclusive events
•Free Opportunities for Photoshoots and cameos in celebrity videos
•Opportunities for paid gigs and endorsements
•Get into buildings/networks like: YouTube studios, Sony Entertainment, Def Jam Records, Atlantic Records, Universal Music Group, NYFW (New York Fashion Week), and more!

It's easy to apply!
Just text us saying you're interested or send us an email with the information and subject line below!

Subject: LEVEL UP APPLICATION
Name
Age
Height
Profession
Pictures
What are some of your career goals?
What are you looking to gain from this experience?
Are you willing to pay the Registration Fee (due when you come in to Register; $20)?

Registration is open but the fee is a limited time offer and will not be available in the near future! Take advantage of this opportunity before its over!

Join today and push your career in the right direction!",compensation: Based on experience
Looking for a Hip-Hop/Rap/Indie pop - producer and sound mixer,"QR Code Link to This Post
            
        
Hey everyone.

I am a first time artist looking to create a 7 track EP 
I have all the instrumentals and lyrics complete, just need someone to bring this all together. 
I have a lot of production ideas in regards to how I would like the voice to be produced. 
I am very familiar with the studio as I have spent the last 10 years in music studios, I just don't know how to actually do it haha

Anyways, if you could get back to me with your rates + examples of you mixed and produced! Thank you.",compensation: DOE
Fee Paid to host our business computer in New Orleans,"QR Code Link to This Post
            
        
We record local TV newscasts into a computer to track mentions of our our clients in the news. Looking for a commercial or residential location that is receiving local New Orleans TV stations from an over the air antenna and can host our computer. TV stations we need are WDSU - NBC, WVUE - FOX, WWL- CBS, and WGNO - ABC. We provide all equipment, you provide only an internet connection and a connection to the TV antenna. Minimal involvement needed after initial set-up. Please provide your location including zip code and phone number if interested in learning more.",compensation: $75 per month indefinitely
Social Media for Comedian,"QR Code Link to This Post
            
        
Hey,

I'm a comedian based here in NYC. I work on a television show, have written on some cool shows, and perform standup in NYC regularly, most often at the Comedy Cellar.

To that end, I'm trying to ride the wave of using social media to promote myself sharing clips and other content. I need someone who can 1) film me at shows, 2) edit, transcribe, and create clips for IG/YT, and help me better distribute them - quickly and efficiently.

Ideally you're: a college student studying film with a good amount of filming and editing experience, a love of comedy, exceptional organizational skills, social media savvy, and an overall creative.

This starts immediately - as early as tonight, January 25, 2020. You MUST have your own equipment. This is a paid and on-going position, ideal for a college student with free time during the evenings to attend/film shows.  Please reply with:

-your experience filming and delivering quick turnaround videos for IG/YT
-your interest in comedy
-your thoughts / any relevant viewpoints on increasing the reach of a comedian via social media
-proof of your organizational skills
-intangibles you think you bring to the table",compensation: $50 - $100 per week / 5 - 10 hours per week max
Male Model Wanted,"QR Code Link to This Post
            
        
I am looking for a male model (preferably 40+) for black and white figure studies for portfolio work. 

I maintain a professional and relaxed environment. Serious inquiries only. 

Please attach a photo for reference with a reply.",compensation: $40/hour
Write Fun Stories About Celebrities,"QR Code Link to This Post
            
        
We are seeking a creative writer to contribute stories for a new media company that focuses on celebrity relationships. Stories are about how celebrities met.

Example Stories:
How Kylie Jenner met Travis Scott
How did Lebron James Meet His Wife?

The articles should be 300-400 words and 3-5 paragraphs. The stories should be fun and engaging, not read like a Wikipedia entry. Is there some interesting detail about how these 2 people met, was there a courtship or a romantic angle, is there a funny story involved?

The pay is $10 per article with room for growth in the future. Payment will be made within 24 hours of submission via Paypal or Venmo. We are seeking to hire someone on an ongoing basis, so this can be a good side hustle or just something for you to do on a rainy day to earn extra money.

To be considered please submit a sample story about how any celebrity of your choosing met their boyfriend,girlfriend, husband, or wife. The meat of the story should be factual and based on credible sources (e.g, TMZ, People, YouTube interview, etc). Include links to your sources with your submission.",compensation: $10 per 300-400 word article
Cannabis Models (no experience needed),"QR Code Link to This Post
            
        
Hello there Portland folk and anyone else who is reading this!  Looking for confident subjects who would like to help create content for a new cannabis company.  (you do not need to smoke at all during shoot) 

(MUST ANSWER THE QUESTIONS AT THE BOTTOM TO BE CONSIDERED.)

We are looking for willing models/subjects to work with on a shoot that will be a bit edgy. Tattoos, motorcycles, garage and grunge. Abandoned homes, train tracks, garages, etc. (MEN AND WOMEN)

NO NUDITY! Any pictures sent along these lines will be immediately discarded. We are looking for edgy and confident. Showing some skin, mostly looking for attitude and confidence.  

Pay: $20.00 for 2-3 hours of your time (plus product during the shoot) Venmo

Also:  We will give you 5 portraits with a watermark on it so you can post on social media or just have for yourself :)

Looking for: Edgy and confident men and women open to creative shots and ideas. No discrimination at all, we encourage all shapes and sizes, colors and styles, any gender, literally someone who has never modeled before but has great energy and open to being creative with a bit of rebellion in their spirit, is the exact vibe we are after.

Look forward to hearing from you all , and lets create something amazing.

What we need from you is you:

ID to prove you are 21+, few selfies and pictures of yourself, your availability, also feel free to let others know about this ad as well. Any questions or concerns please reach out :)","compensation: $20 dollars via Venmo, Paypal, or cash after shoot. Also offer 5 digital assets with watermark."
Seeking Fun models All sizes 400-800$,"QR Code Link to This Post
            
        
Company seeking Models and Actresses to participate in an Audition for Talent Development and Consulting for upcoming Projects in Runway, event dating, Commercials, Theater and Film.
If you just want to pose for pics please don't apply.

For immediate consideration send face and body pics.
832-598-6872 jay.",compensation: 400-800$ a day
Computer Based job that allows you to work from home,"QR Code Link to This Post
            
        
We are looking for a few home workers who have 4-6 hours a week to do online work that does not require them to leave their home.

This is not for everyone, so we have prepared a preliminary presentation that we require all intrested candidates to watch in its entirety. You can find the presentation here: https://cutt.ly/FrEbJ5c

Requirements imclude: 

A desktop or laptop computer

A stable internet connection

Some money to purchase a website will be required

* Limited space is available so please be sure to watch the presentation as soon as possible.",compensation: Up to $500 weekly
Artist; pencil sketch or 3D printer design,"QR Code Link to This Post
            
        
Need an artist to draw ideas for two products.  I'll describe the components, you draw them.   Can be hand-drawn or made with 3D printer software, ready for printing the prototype.

The first item is 3' tall, rectangular with 4""x4"" width.  It will come apart in three pieces, including wiring and sockets.  Will need sketches of the individual parts as well as one fully assembled.

I'll describe the components to you in person, you make a rough sketch, take notes, then take your time doing the final drawings.  I'm not in a hurry but would like to wrap this up in 2-4 weeks.  Can start this project as early as Sunday 1/26/2020.

Age does not matter but if under 18, your parent or legal guardian must accompany you.  No exceptions!!!

You must sign a product non-disclosure agreement and send me a sketch you've completed as proof you can draw.",compensation: Name your reasonable fee for the request
DESIGN Internship // Furniture + Lighting,"QR Code Link to This Post
            
        
Furniture design studio seeking intern to assist with digital design and physical prototyping of lighting and furniture design concepts. Lots of opportunity to hone your skills and learn a variety of techniques as well as how to start your own business. Great resume builder and potential to offer school credit if needed.

We work with leather, wood, metal, and stone so there are many possibilities to learn different methods here. We fabricate some of our designs at another workshop off-site using CNC machines, machining, welding and woodworking which you could have the opportunity to partake in if you desire. 

Required skills/traits:

-desire to learn
-ability to do research
-on time
-communicative
-goal oriented
-can multitask
-neatness 

Ideal (but not necessary) skills:

-Experience using 3D CAD software such as Fusion 360 or Solidworks etc.
-knowledge of materials
-ability to create physical objects in metal, wood, cardboard, and paper.
-experience or desire to learn to work with leather.

Lunch or lunch stipend provided.

If you are interested we want to hear from you! Please contact via email and share images of work and a resume if you have one. A simple list of experience is fine if you do not yet have a resume. 

Located in Hudson off Warren st.",no pay
Models Wanted (no contract or experience needed),"QR Code Link to This Post
            
        
Women Models needed in the Albany and Boston area! Own transportation is a plus. Experience is not needed but appreciated. Competitive pay. Please email a few of your best pictures, age, height, weight, number, and best times to reach you for consideration (email is provided in the reply button). We will reach out to you as soon as possible for more details! Thank you for your time.",compensation: Will be discussed
Fashion Brand Looking For Models - Fame show at Javits Center 2/11-13,"QR Code Link to This Post
            
        
Fashion Brand Looking For Trade show Model

Fame Trade Show 2/11-13 Javits Center NYC

please submit your info with contact number",compensation: Per Day
Part-Time/Equity-Only Frontend Developer for New Beauty Platform,"QR Code Link to This Post
            
        
Recently launched skincare platform is looking for a part-time (10/hrs a week) frontend developer to start working for equity as we are currently in the process of raising a Seed Round. 

Current Tech Stack:
React + Redux
NodeJS
Heroku
GraphQL
PostgresSQL
AWS

Utilizing MailChimp and Stripe applications.   

Product Details: eCommerce platform to connect customers with estheticians, who provide skincare recommendations via SMS, and then a web app shopping experience to purchase those products.",no pay
Now Hiring Entry-Level Writers for Remote Work,"QR Code Link to This Post
            
        
We are looking for entry-level writers to create blog posts for our media company.

The topics you'll write about will be in all kinds of niches: relationships, Astrology, technology, sports betting, and more!

Most articles will be about 1000 words in length, since you are writing for the web we expect you to use short paragraphs of 1-4 lines each.  Most should be 2 lines long, and 4 lines is the absolute maximum length of a paragraph.

We also expect your content to be well researched. No fluff or repeating the same points is allowed.  If you are not a native english speaker you must use a tool like grammarly. For some articles you will be given links to include, and anchor texts to use.

In your email to us, please answer the following questions, if you answer no to some questions this does not disqualify you at all!

1. Have you ever written blog posts before? Please share examples

2. Have you ever written for a product review website before? Please share examples

3. Do you have access to Microsoft Word?

4. Have you ever used SurferSEO before?

5. Do you have any Ahrefs experience?

6. Are you okay with writing about adult topics? Such as sex toys and hookup apps

7. What is your rate per word?

8.  What is 'anchor text' in a blog article ?

9. What is your nationality?

10. Where do you live now?",compensation: 3 cents per word
Computer/monitor install & Roku channel on one TV,"QR Code Link to This Post
            
        
Hi there, need Roku set up on one tv. I tried to set it up but the tv I need it set-up on only has 2 HDMI ports on it. I tried to use a powered HDMI splitter device and got lost in the process. You will know how to bail me out of this and bring the exact parts needed. I already have the roku  device. We will go thru this on the phone so we are on the same page.

The laptop is hooked up to a monitor but I can't seem to get the two screens to operate independently or at all. Plus I have a few other computer things I will need to go over with you. 

Respond with memo on how you will address the Roku deal and I will assume your computer knowledge will address the monitor issue.  

Have $75 allocated to this project plus parts.","compensation: Cash, green American dollars"
Computer geek for lady - asap,"QR Code Link to This Post
            
        
I need help on media rearrangment and using Drop Box... downloading info like videos (shortening them up) photos and sending out.  Not complicated but I need someone who KNOWS how to navigate this new social media world.
Basic few hours per week of help on my PC and Apple computers.


Min. wage.... Im in Pacific Beach
Star immediately.

Maggie",compensation: min. wage... start part time.
Social Media Marketer Wanted NOW!,"QR Code Link to This Post
            
        
Social Media Marketer who specializes in creating, posting and marketing YouTube videos as well as Instagram & Facebook marketing to attract major viewers!!!",compensation: $15/ Hrly plus Commissions
Experienced editor that can create a doc trailer,"QR Code Link to This Post
            
        
Seeking an experienced editor that can create a trailer for a documentary, color correction, ad good audio transition and sound. I have a trailer but the sound quality is off at the beginning but i can't find original audio files that goes with it. But i need the trailer to be clean visually and audio wise. I need this worked on this evening. please send trailers or links to trailers you have worked on, please be able to adjust audio and make it clean as possible.",compensation: TBA
Female Models Wanted for Photo Shoot,"QR Code Link to This Post
            
        
Attractive models wanted for car related photos/posters. Some are adult topless pictures, also bikini. Pay is $200.00 per hour and shoot lasts 1-2 hours. Must be over 18 to apply. Please respond with current picture and a note describing yourself. Looking for reliable person with transportation. Will pay cash upon completion of shoot. Will require model release and photo ID. Please send best contact method and time.",compensation: $200.00 per hour approximately 2 hours
Videographer/Photographer Internship,"QR Code Link to This Post
            
        
Huggin’ Money Inc is looking for an Intern, preferably with their own camera.
Most tasks will include:
-Photography 
-Videography 
-Shoot and Edit promo videos
-Music videos 
We are looking for someone with lots of energy and drive. This is a very fast paced environment. The hours and locations may vary so availability will be important. 
This would be a Great way to gain experience and network to get your foot through the door in this industry. 
(We will provide a reference letter at the end of your term) 

Please send us an email and tell us about yourself if you’re ready to work alongside an exciting group of people!",no pay
Swift Developer needed for partnership,"QR Code Link to This Post
            
        
Hi All.

I'm looking for a swift app developer, who is in between projects and available immediately, to build an app with me for a percentage of the income it generates.

I'm not looking for someone to work for free, but rather I believe people should be fairly compensated for their work.

I work a regular job, and don't have $20,000 to drop in advance, but I'm willing to invest my time in the project, because I believe it will be a game changer. 

The feedback I have received so far has been pure excitement, and I am thoroughly convinced that once you hear the details of my idea, you will absolutely be as excited and driven as I am.

If you are willing to provide me with examples of your work and sign an NDA, I will disclose the details to you and we can discuss an agreement of the amount of time we will both contribute and what our take will be.

I am a project manager by trade, and already have a UX consultant 100% committed. I want to keep the team small and dedicated.

The necessary skills would be Swift coding, database management, and hyperparameter optimization.

Please respond and include examples of your work and a list of relevant skills and/or a resume. 

Let's make money together. Seriously.",compensation: percentage of revenue for a fixed amount of time.
Models wanted for Fashion Photoshoot,"QR Code Link to This Post
            
        
Looking for a few female models aged 20s-40s for a fashion collection photoshoot. Any level of experience is fine, but must be 18+ and comfortable behind the camera. Some swimwear will be included, but it will be a fully clothed shoot to showcase garments on our website and social media. Must be available next Saturday Feb 1st during the day... start time is TBD but we will wrap by 4:30pm so you can keep those evening plans! 

If interested, please send an email with your name, contact info, and a few photos of yourself. Looking forward to meeting you soon!",no pay
Female Model 18-33 Caucasian or Hispanic 70’s Style,"QR Code Link to This Post
            
        
Looking for a female model between the age of 18-33. Thin with a 60-70’s style. Preferably someone with bangs and a shag haircut. Open to other hairstyles as well. Also must be comfortable smoking for the shots needed. See picture above for idea. This is for a sustainable clothing brand. 

www.Spirit-Vision.co

Please submit your headshots. 

Pay $50 for the hour on Monday 1/27 at 330pm in Riverside, CA. Model will recieve photos and video for their time. I know the pay isn’t great but we don’t have a large budget for this project.",compensation: $50 and photo/video content
Photography models needed. No experience necessary,"QR Code Link to This Post
            
        
Seeking female models ages 18-40 for well paid professional and discreet photo shoots. No experience required. Send email for more info.",compensation: $150-350 per hour depending on type of shoot
NOW CASTING: MILITARY MALES FOR XXX MODEL/VIDEO WORK,"QR Code Link to This Post
            
        
Active Duty MILITARY MALES 18-30 wanted for
great paying $$$ Model/Video Work

Must be ATHLETIC 18-30

Completely discreet/professional

Reply with PICS, STATS, CONTACT INFO",compensation: minimum $625/per hour
ATRACTIVE GIRLS/ COMPANION MODELS,"QR Code Link to This Post
            
        


******* HABLAMOS ESPAÑOL ********
Agencia de entretenimiento para adultos que busca chicas atractivas de entre 21 y 38 años.

Disponible para trabajar Turno nocturno de 8PM a 3AM

Se proporciona Transporte.
Con Experiencia , pero no es requerida.
Buena actitud.

Si estás interesada, envíenos un mensaje de texto al 
(754) 999-7357, con la siguiente información:

Nombre / Edad /Nacionalidad /2 Fotos (cara y cuerpo)

**************************************
Adult Entertaintment company looking for Atractive girls ages 21- 38. 

Available to work Night shift from 8PM - 3AM 

Transportation provided 
Experience preferred, but not required 
Great listner and have a great attitude.

If you are interested please TEXT US (754) 999-7357, with the following information: 

Name / Age / Nationally /2 pictures (face and body",compensation: 80HR
iOS streaming video,"QR Code Link to This Post
            
        
Extensive experience coding using replaykit 2, broadcast extensions, multi-peer connectivity and other video idiosyncrasies of iOS.",compensation: contract
ATMOSPHERE MODELS FOR SUPER BOWL EVENT,"QR Code Link to This Post
            
        
We put together a yearly champagne tasting Super Bowl event on the westside  Sunday February 2 at 330 pm.  We utilize atmosphere models for mingling with guests ranging from movie producers, lawyers, doctors and CPAs. Typically we source from SURKUS and Craigslist in addition to traditional female invitees. You must be 18- 32 and be dressed in a cocktail dress. Those under 21 are not allowed to drink. We expect lively, bubbly personality and not someone glued to their phone. Pay is $75 for approximately 3 1/2 hours of work. It depends on the length of the  game. You are expected to remain until the finish. If it runs over significantly due to overtime , you will be paid more. This is a great opportunity to taste a variety of champagnes and food cooked by an Italian chef in a fun surroundings in an exclusive high rise building. Please respond with age, height , weight, contact phone number and multiple pics.",compensation: $75 for approximately 3 1/2 hours
Male Models For Upcoming Fashion Brand,"QR Code Link to This Post
            
        
Start-up menswear line in need of male models that aren’t afraid of bold colors and mixing patterns. #dandy #contemporary 

Serious inquires only. An interest in fashion REQUIRED. Seeking to hire part-time/on call with very flexible schedule, starting at $20-30/hr, no experience necessary. Must be at least 18yrs of age, 21+ preferred. Studio is located in Pilsen. 

Models will be measured for custom suit jacket, vest, and dress shirt prototypes. This can take up to three fittings. Currently looking for chest sizes 36-42, no height requirement (S,R,T/L). 

Please reply with “Menswear Fashion” in the subject line. Along with one current photo, and the answers to the questions below. 

Which designer(s) or brands do you like?
What is your availability?
Height? (for preparation purposes)

I look forward to hearing from you!

Thanks,

Ron",compensation: Starting at $20-30/hr; Based on experience
Make $500+ A Day from your smartphone or computer!,"QR Code Link to This Post
            
        
My name is marq and I can share with You how I’m earning up to $500+  A day for sharing a done for you Website with people . If you have 1-3 hours a day Then I can show you how . 

To get started Text “Autopilot” to (865) 408-8835",compensation: $500
Real web development and SEO leads for sale,"QR Code Link to This Post
            
        
We sell real web development and SEO leads at www.OurTechFriend.com, here's the proof! - clients.ourtechfriend.com/testimonials",compensation: $250 per lead
Paid Research Study - Share Your Thoughts About American History,"QR Code Link to This Post
            
        
America's story is unique. From our national history to the history of our communities, it has shaped our country.
 
A group of history museums, including Colonial Williamsburg, Thomas Jefferson's Monticello, and George Washington's Mount Vernon, is conducting a study to learn more about how Americans like you think about history in our country.
 
We are seeking Americans from across the country, from a variety of backgrounds, to participate in an online panel.
 
To enroll, go to:
 
250th Broader Population Screening Survey
 
and take a short survey to determine eligibility. Since we are seeking a variety of opinions and perspectives from throughout the country, there are no wrong answers. An interest in history is not required to participate.
 
If you are asked to join the panel, you will be invited into a secure, moderated, online space and asked to thoughtfully answer 8 questions (two/week) over four weeks. All questions must be completed by March 9, 2020 to be eligible for a $50 gift card to Amazon.com (to be sent to your email address between March 9 and March 11, 2020).
 
You will be notified by Monday, February 10 (likely sooner) if you have been selected. Up to 100 individuals will be selected for this panel.
 
If you have any questions about this research, you can reply to this posting.",compensation: $50 gift card to Amazon.com
$1650 Job Total Hair Event for Hair Color - Local Hair Models WANTED,"QR Code Link to This Post
            
        
Models will be booked by photos.
We need models 5'8"" and taller Dress Size 0-4
Models should walk well in heels.
Submit one head shot and one profile image along with your first name and model stats.
We need one 1 red.  1 blond. 1 brunette with dimension
Open to color ( models are going to stay in their color range )

Prep day : February 6 & 7
Show day : February 8 & 9

Models must Book as local – no pay for lodging or travel.

$1650.00 Job total for 4 all days",compensation: $1650.00 Job total for 4 all days
After Effects - Animation,"QR Code Link to This Post
            
        
ISO of an after effects animator to create 2D animation for a small project. Please respond with rates and samples of your work.",compensation: TBD
Business Social Media Marketing Expert Needed,"QR Code Link to This Post
            
        
- Looking for someone that can help me post my Cars on Facebook Market place

 - I want to post my cars on FB market place though my business page. I usually post thru my personal page but moving forward I would like to post it through the business and not my personal page

 - Have all inventory active on my FB page and IG. I would like to post my sold inventory up as well

 - Integrate FaceBook and Instagram 

 - Get tips on how to develop more followers on IG for my business page

 - More Importantly I am also looking to exercise others forms of Social Media and person must be able to present ideas to help develop business  
Pinterest
SnapChat
YouTube
Twitter
Whatsapp 
LinkedIn 
TikTok 
Yelp
Tumblr etc.. 

Who ever is interested can contact me and must be able to meet me here at my office
My dealer is located by the FL mall

If things work out I may consider hiring part time

Contact me by via text or call 
If you would like to email me a resume I will take a look at it and consider hiring part time",compensation: 10 an hour
Female Model 18-33yrs Caucasian or Hispanic,"QR Code Link to This Post
            
        
Looking for a female model between the age of 18-33. Thin with a 60-70’s style. Preferably someone with bangs and a shag haircut. Open to other hairstyles as well. See picture above for idea. This is for a sustainable clothing brand. 

www.Spirit-Vision.co

Please submit your headshots and hourly rate. 

Monday 1/27 at 330pm in Riverside, CA. Model will recieve photos and video for their portfolio as well.",compensation: Based on experience
Casting Call: Female freckled model talent needed,"QR Code Link to This Post
            
        
Gray Chenier - couture fashion house/Raleigh NC 

Do you want to be a part of a contemporary high end clothing design company?   This is your chance!

- We are a looking for a female model for an upcoming shoot.  Model needs lots of freckles!!  We are looking for a certain look for our brand's next shoot.  
- Shoot is TFP, and you will be featured on our website and upcoming runway shoots.

- Date of Shoot TBD

- Please send a headshot and full body pic.  Please send shirt and pant size and dates you're available to shoot. 

- Models must be female and have freckles to be considered for this shoot.",no pay
Web designer,"QR Code Link to This Post
            
        
Looking for someone with experience using SquareSpace",compensation: Depends upon experience
"Anchor Woman, Models, Business Dev, Recruiter, Videographer, Marketing","QR Code Link to This Post
            
        
News Anchor Woman, Models, Business Development, Recruiter, Videographer, Marketing / News Assistant

Very Important !

We only respond to interested candidates who apply / contact us via Head-Line-News.com's website. To be considered, go to the website.

For detailed Information, other job positions, and / or to Apply Online, visit our website below:
http://head-line-news.com/jobs-opportunities

--------------------------------------------

Job Types: Part-time

News Staff Positions
Head-Line-News.com is a FREE Subscription based Internet Streaming Video service that broadcasts internationally a Live Adults Only version of the Headline news. The Live Newscasts are similar to Live Television Newscasts, but includes a unique twist.

We are offering the following positions. Both Daytime and Night positions are available and are dependent on our Broadcast schedule. Work up to 3 days a week 2-3 hours / day. If you have any questions, please contact us.

$50 to $80 / hr - News Anchor Woman Positions
Acting as the News Anchor Woman, you would be informing the online viewers of the latest Headline news. You will be reading from a prepared script consisting of short paragraphs highlighting the daily top Head Line News stories. During the Newscast, you will be interacting with your partner. In addition, you will also have the opportunity to perform in our Headline News Reverse Broadcast Edition where the roles of the anchor team are reversed.

$80 / hour - Models / Actresses
Female Models / Actresses are needed for creating Promotional Materials for Head-Line-News.com. You will be posing for either photos or short 30-second sampler videos depicting the duties of the News Anchor Woman for marketing and advertising purposes. Refer to the ""Models / Actresses"" Job description within the more information section below.

$20 / hour - Business Development Partner and Associate
We are currently looking for a Business Development Partner and Associate to help develop and expand our Headline News shows. We would like to broadcast our shows more frequently, hire additional talent, and invest more into the business. Responsibilities include but are not limited to: Managing the News Anchor Teams, Obtaining New Talent, Optimizing our News Shows, and Aid in providing the highest quality shows.

$20 / hour - Talent Recruiter
Responsible for acquiring new talent for our News Anchor Woman team. You will also receive a $100 bonus for each candidate who participates in an audition. Refer to the ""Talent Recruiter"" job description within the more information section below.

$20 / hour - Videographer / Photographer
You will be responsible for directing the live shows in terms of model position, maintaining proper lighting, and camera position during our Live news broadcasts. You will also be taking still photographs for use in Promotional Materials.

$18 / hour - Marketing / News Assistant
Responsibilities include marketing and advertising of our online Headline News shows, preparing the news scripts for the shows, and to assist the staff during our Live broadcasts. You will also be assisting in creation of marketing materials for Headline News.

Work Schedule
This is an ongoing newscast where you can rely on steady income. The work is guaranteed and this is an ideal opportunity to make great money working for just a few hours a week.

 • Flexible Daytime and Nigh-times available
 • 3 days a week, 2-3 hours a day
 • No experience required
 • Fun and friendly environment

Payment
 • You will be paid in Cash daily for your service.

Locations
 • San Fernando Valley and Santa Clarita Valley, California",compensation: See each individual job position for pay rate
🔵 MAKE MONEY WITH ONLINE MARKETING,"QR Code Link to This Post
            
        
Fast-growing technology company looking for highly motivated independent sales affiliates to promote an all-in-one online marketing system to small business owners whether home-based or brick & mortar. This is a business opportunity which will require a small investment of $87/mo that you can promote on your own time and location.


To learn more about our online marketing visit https://advertiseyourbusiness.now.site and for the affiliate program, visit https://royaltieaffiliate.now.site


Affiliate earnings examples:

Example 1==> Earn at a minimum $2,000 per month residually when your direct customers and their direct customers have accumulated at least $5,000 in reoccurring monthly group subscription sales

Example 2 ==> Earn at a minimum $6,000 per month residually when your direct customers and their direct customers have accumulated at least $15,000 in reoccurring monthly group subscription sales

Example 3 ==> Earn at a minimum $9,000 per month residually when your direct customers and their direct customers have accumulated at least $25,000 in reoccurring monthly group subscription sales


Call or text Charles with any questions you may have as well and I will also be the one assisting you with getting started ==> 240-714-1940.",compensation: commission-based
Seeking Very Tech Savvy Web Designer,"QR Code Link to This Post
            
        
I am seeking a super talented and tech savvy web designer to work on an ADULT themed project. Obviously, you must be over 18 since it is ADULT themed. Also, you must be comfortable with that. Hit me up so we can discuss pay, specs, details, etc. UNITED STATES RESIDENTS ONLY, NYC PREFERRED. I look forward to hearing from you.","compensation: Open to discussion, definitely a paid position."
Casting for a training video,"QR Code Link to This Post
            
        
I'm looking for a female to be in a video tutorial I'm planning to produce for a client of mines.

The video is for training purposes so these can't be distributed for portfolio use unless with permission.

It's going to be a full 8-hour day of work with breaks in between.

Message me if you're interested.

You will be compensated at $400 for the whole day.",compensation: $400
Looking for the next Super Model - Portfolio development,"QR Code Link to This Post
            
        
Female models, ages 18 to 25, 5' 7"" or taller, between 115 to 150 lbs looking to develop your portfolio for summer 2020. Here is your opportunity.
Shoot with multiple photographers in one venue on different sets and receive a copy of all your images before you leave.
Vintage and New wardrobe provided by clothing lines and sponsors.
Live Dj in the mix making a Fun and energetic atmosphere.
Full Bar for 21 and over
Fashion show and Catwalk.
Venue is a historic 1930s
Art Deco Theater
Please submit Bio and photos
For consideration",no pay
Thesis writer MBA,"QR Code Link to This Post
            
        
I have written my MBA thesis . I need someone read advisors comments then make changes and improvements . Must be able to add content not just edit words. I have time and not interested in overnight turnaround.",compensation: Will discuss
Rebel of America Assistant Editor,"QR Code Link to This Post
            
        
Looking for assistant editor LA region for a project premiere, sync sound and prep for editorial.  Rate $100 dollars an hour. Has to be able to build a bay at our office in Beverly Hills

Availability as soon as the 27th, 28th January 2020 and finish ASAP",compensation: $100/hr
Female models needed,"QR Code Link to This Post
            
        
New company looking for models to shoot adult scenes. This is a paid gig.  Must be comfortable on camera and have willingness to work and be part of a new venture. If you are too shy this job is not for you. Please respond with full body photo as well as head shot. Also include why you think you would be a good fit.",compensation: $200 per shoot
Freelance Writer For PrePaid Cards Website,"QR Code Link to This Post
            
        
Looking for a freelance writer to write about different topics such as prepaid cards, saving money, side jobs, making money online, mobile banking, virtual credit card,  bitcoins, starting an online business and investing apps/platforms/services for amateurs and newbies and other areas of finance.

The topic will be given to you. You will just research and write or spin/rewrite an article

PayPal Payment $15
500 words minimum
Turnaround time 1 week
Good Grammar
Use Spell Check",compensation: $15 per article of 500 words
Teach me spanish,"QR Code Link to This Post
            
        
Teach me Spanish today $10/hr.
Norfolk",compensation: $10/hr
Looking for someone to make my website,"QR Code Link to This Post
            
        
Hi,
I have a small commercial janitorial Services and I’m looking for someone to do my website, please send me your proposal for review, looking to get done very soon please have experience.
You can send me your price by email or by text at 650-515-2336

Estoy buscando a alguien que me ayude hacer una pagina de internet con experiencia para una pequeña de limpieza.
Manda tu propuesta por email o mandame texto al 650-515-2336",no pay
Actress/model ages 18 to 28 wanted for Elvis Film Project,"QR Code Link to This Post
            
        
Interviewing now within these next 2 weeks.
Director is Casting an actress/model.
Interviews in Hollywood area.
Actress/model wanted 18 to 28 years age any nationality.
Film Shorts are ""G"" ratings in pre-production. Shooting in the end of February. Casting now.
Genres -
1. Comedy
2. Spiritual
Both with handsome Elvis lookalike and sound/singer alike.

Scripts need minor re-writes, depending on actress/model.
Singer a plus.
Please reply with name, headshot or zed card or photo, and number.",compensation: $100 per day plus meals. Minimum 5 days
$30 cash app gig,"QR Code Link to This Post
            
        
Hello , my name is Pierre.
I make videos for my YouTube focusing more on the rough neighborhoods/ghettos. I need someone who can do same thing for me I. Chicago and send me the footage via gmail drive. I prefer dslr or go pro or camcorder. Phone may be ok if you have a great video quality and I need the files to be sent via gmail. No editing required and I’m willing to pay $30 for each videos . Videos must be at lease 10 minutes. All you doing is drive around . For gang interviews I’m willing to pay $50 per videos. 

https://www.youtube.com/channel/UCx3CwkoG4h58RqFdJ8oiw2w

I will own all the rights to the videos you sent me and it will be for my YouTube. Please text or email for more information.",compensation: $30
Hiring models for ae,"QR Code Link to This Post
            
        
Beautiful and open mind women needed for special bookings. 
If interested please email us, contact information and 3 pictures 
This is an AE/SW position. 
You will need a valid I.D. 

Start booking as soon as tomorrow

All Disclosed bookings, NO PERMIT NEEDED!
Transportation also provided if needed.
Great working location Buckhead/downtown area

*Inquiries without photos will not be considered. 
*Please have valid Identification upon request. 

Once we receive your information a representative from our team will reach out to you as soon as possible with more information about the company.",compensation: $1000
